s,"tamp,datetime,","humidity,t",emperature
"""","1497825442"",""",18/06/2017,"22:37:22"",""63.8"",""18.3"""
"""","1497825443"",""",18/06/2017,"22:37:23"",""63.8"",""18.3"""
"""","1497825444"",""",18/06/2017,"22:37:24"",""63.8"",""18.3"""
"""","1497825445"",""",18/06/2017,"22:37:25"",""63.8"",""18.3"""
"""","1497825446"",""",18/06/2017,"22:37:26"",""63.8"",""18.3"""
"""","1497825447"",""",18/06/2017,"22:37:27"",""63.8"",""18.3"""
"""","1497825448"",""",18/06/2017,"22:37:28"",""63.8"",""18.3"""
"""","1497825449"",""",18/06/2017,"22:37:29"",""63.8"",""18.2"""
"""","1497825450"",""",18/06/2017,"22:37:30"",""63.8"",""18.2"""
"""","1497825451"",""",18/06/2017,"22:37:31"",""63.8"",""18.2"""
"""","1497825452"",""",18/06/2017,"22:37:32"",""63.8"",""18.2"""
"""","1497825453"",""",18/06/2017,"22:37:33"",""63.8"",""18.2"""
"""","1497825454"",""",18/06/2017,"22:37:34"",""63.9"",""18.2"""
"""","1497825455"",""",18/06/2017,"22:37:35"",""63.9"",""18.2"""
"""","1497825456"",""",18/06/2017,"22:37:36"",""64.0"",""18.2"""
"""","1497825457"",""",18/06/2017,"22:37:37"",""64.0"",""18.2"""
"""","1497825458"",""",18/06/2017,"22:37:38"",""64.1"",""18.3"""
"""","1497825459"",""",18/06/2017,"22:37:39"",""64.1"",""18.3"""
"""","1497825460"",""",18/06/2017,"22:37:40"",""64.1"",""18.3"""
"""","1497825461"",""",18/06/2017,"22:37:41"",""64.1"",""18.2"""
"""","1497825462"",""",18/06/2017,"22:37:42"",""64.1"",""18.2"""
"""","1497825463"",""",18/06/2017,"22:37:43"",""64.2"",""18.3"""
"""","1497825464"",""",18/06/2017,"22:37:44"",""64.2"",""18.3"""
"""","1497825465"",""",18/06/2017,"22:37:45"",""64.2"",""18.2"""
"""","1497825466"",""",18/06/2017,"22:37:46"",""64.2"",""18.2"""
"""","1497825467"",""",18/06/2017,"22:37:47"",""64.2"",""18.2"""
"""","1497825468"",""",18/06/2017,"22:37:48"",""64.2"",""18.2"""
"""","1497825469"",""",18/06/2017,"22:37:49"",""64.2"",""18.2"""
"""","1497825470"",""",18/06/2017,"22:37:50"",""64.2"",""18.2"""
"""","1497825471"",""",18/06/2017,"22:37:51"",""64.2"",""18.2"""
"""","1497825472"",""",18/06/2017,"22:37:52"",""64.2"",""18.2"""
"""","1497825473"",""",18/06/2017,"22:37:53"",""64.2"",""18.2"""
"""","1497825474"",""",18/06/2017,"22:37:54"",""64.2"",""18.2"""
"""","1497825475"",""",18/06/2017,"22:37:55"",""64.2"",""18.2"""
"""","1497825476"",""",18/06/2017,"22:37:56"",""64.2"",""18.2"""
"""","1497825477"",""",18/06/2017,"22:37:57"",""64.2"",""18.2"""
"""","1497825478"",""",18/06/2017,"22:37:58"",""64.2"",""18.2"""
"""","1497825479"",""",18/06/2017,"22:37:59"",""64.2"",""18.2"""
"""","1497825480"",""",18/06/2017,"22:38:0"",""64.2"",""18.2"""
"""","1497825481"",""",18/06/2017,"22:38:1"",""64.2"",""18.2"""
"""","1497825482"",""",18/06/2017,"22:38:2"",""64.2"",""18.2"""
"""","1497825483"",""",18/06/2017,"22:38:3"",""64.2"",""18.2"""
"""","1497825484"",""",18/06/2017,"22:38:4"",""64.2"",""18.2"""
"""","1497825485"",""",18/06/2017,"22:38:5"",""64.2"",""18.2"""
"""","1497825486"",""",18/06/2017,"22:38:6"",""64.2"",""18.2"""
"""","1497825487"",""",18/06/2017,"22:38:7"",""64.2"",""18.2"""
"""","1497825488"",""",18/06/2017,"22:38:8"",""64.3"",""18.2"""
"""","1497825489"",""",18/06/2017,"22:38:9"",""64.3"",""18.2"""
"""","1497825490"",""",18/06/2017,"22:38:10"",""64.3"",""18.2"""
"""","1497825491"",""",18/06/2017,"22:38:11"",""64.3"",""18.2"""
"""","1497825492"",""",18/06/2017,"22:38:12"",""64.3"",""18.2"""
"""","1497825493"",""",18/06/2017,"22:38:13"",""64.3"",""18.2"""
"""","1497825494"",""",18/06/2017,"22:38:14"",""64.3"",""18.2"""
"""","1497825495"",""",18/06/2017,"22:38:15"",""64.4"",""18.2"""
"""","1497825496"",""",18/06/2017,"22:38:16"",""64.4"",""18.2"""
"""","1497825497"",""",18/06/2017,"22:38:17"",""64.4"",""18.2"""
"""","1497825498"",""",18/06/2017,"22:38:18"",""64.4"",""18.2"""
"""","1497825499"",""",18/06/2017,"22:38:19"",""64.5"",""18.2"""
"""","1497825500"",""",18/06/2017,"22:38:20"",""64.5"",""18.2"""
"""","1497825501"",""",18/06/2017,"22:38:21"",""64.5"",""18.2"""
"""","1497825502"",""",18/06/2017,"22:38:22"",""64.5"",""18.2"""
